source,confidence,target,weight
FLI1,A,GP9,1.0
SP3,A,AGTR1,1.0
SP3,A,ALPL,1.0
SP3,A,BPI,1.0
SP3,A,BTK,1.0
SP3,A,CA9,1.0
SP3,A,CCND1,1.0
SP3,A,CD14,1.0
SP3,A,CD2AP,1.0
SP3,A,CD83,1.0
SP3,A,CDKN1A,1.0
SP3,A,CDKN2A,1.0
FOXP1,A,SFTPC,1.0
SP3,A,CDKN2B,1.0
SP3,A,CDKN2D,1.0
SP3,A,CHRNB4,1.0
SP3,A,CNMD,1.0
SP3,A,COL1A1,1.0
SP3,A,COL2A1,1.0
SP3,A,CTSB,1.0
SP3,A,CTSL,1.0
SP3,A,CYP17A1,1.0
SP3,A,CYP27A1,1.0
SP3,A,CYP2F1,1.0
SP3,A,CYP3A5,1.0
SP3,A,CYP3A7,1.0
SP3,A,ADGRE5,1.0
SP3,A,ABCA1,-1.0
SP2,A,MMP9,-1.0
SP2,A,DNMT3B,1.0
FOXP2,A,MET,-1.0
FOXP2,A,CNTNAP2,-1.0
SP1,A,TNF,1.0
SP1,A,TNFRSF10B,1.0
SP1,A,TNFRSF8,1.0
SP1,A,TNFSF10,-1.0
SP1,A,TNFSF14,1.0
SP1,A,TNNC1,1.0
SP1,A,TP53,1.0
SP1,A,TPI1,1.0
SP1,A,TPMT,1.0
SP1,A,TYMS,1.0
SP3,A,DNASE2,1.0
SP1,A,UBC,1.0
SP1,A,UGT1A4,1.0
SP1,A,UGT1A6,1.0
SP1,A,UNG,1.0
SP1,A,UTRN,1.0
SP1,A,VAMP2,1.0
SP1,A,VDR,1.0
SP1,A,VEGFA,1.0
SP1,A,VIM,1.0
SP1,A,WT1,1.0
SP1,A,XIAP,1.0
FOXP1,A,TCF4,1.0
SP1,A,YY1,1.0
SP1,A,UGDH,1.0
SP3,A,EAPP,-1.0
FOXP1,A,RAG1,1.0
SP3,A,ETF1,-1.0
SP3,A,SCGB2A1,1.0
SP3,A,SCT,1.0
SP3,A,SCTR,1.0
SP3,A,SLC19A3,1.0
SP3,A,SLC1A3,1.0
SP3,A,SLC9A2,1.0
SP3,A,SLC9A3,1.0
SP3,A,TCN2,1.0
SP3,A,TFF1,1.0
SP3,A,TGM4,1.0
SP3,A,TIMP1,1.0
SP3,A,TIMP2,1.0
SP3,A,RORA,1.0
FOXP1,A,KLK3,-1.0
SP3,A,TPMT,1.0
SP3,A,UBC,1.0
SP3,A,UTRN,1.0
SP3,A,VEGFA,1.0
FOXP1,A,IL2,1.0
SP4,A,CCND1,1.0
SP4,A,ERBB2,1.0
SP4,A,KDR,1.0
SP4,A,PDE6B,1.0
SP4,A,YY1,1.0
SPDEF,A,AGR2,1.0
SPI1,A,ACP5,1.0
SP3,A,TNF,1.0
FOXP2,A,PLAUR,1.0
SP3,A,PLAUR,1.0
SP3,A,PADI3,1.0
SP3,A,F2,1.0
SP3,A,F2R,1.0
SP3,A,HMGA2,1.0
SP3,A,HOXB7,1.0
SP3,A,HSD17B1,1.0
SP3,A,HSD17B2,1.0
SP3,A,IGFBP1,1.0
SP3,A,IGFBP3,1.0
SP3,A,ITGA2,1.0
SP3,A,ITGAD,1.0
SP3,A,ITGAV,1.0
SP3,A,KDR,1.0
SP3,A,PLAT,1.0
SP3,A,KLK3,1.0
SP3,A,LORICRIN,-1.0
SP3,A,LTC4S,1.0
SP3,A,MAOB,1.0
SP3,A,MMP2,1.0
SP3,A,MSH6,1.0
SP3,A,MUC2,1.0
SP3,A,MYCN,1.0
SP3,A,NKX2-1,1.0
SP3,A,NOS3,1.0
SP3,A,NOX4,1.0
SP3,A,OPRM1,1.0
SP3,A,PADI1,1.0
SP3,A,LCAT,1.0
SPI1,A,APBB1IP,1.0
FOXP3,A,CCR4,1.0
FOXP3,A,IL2RA,1.0
SP1,A,PROC,1.0
SP1,A,PRSS50,1.0
SP1,A,PSEN1,1.0
SP1,A,PTGIR,1.0
SP1,A,PTGS2,1.0
SP1,A,PTH,1.0
SP1,A,PTHLH,1.0
SP1,A,PTK6,1.0
SP1,A,PTN,1.0
SP1,A,PTTG1,1.0
SP1,A,RARA,1.0
SP1,A,RB1,1.0
SP1,A,REL,1.0
GATA2,A,CCRL2,1.0
SP1,A,RELA,1.0
GATA2,A,CCM2,-1.0
SP1,A,RNLS,1.0
SP1,A,RORA,1.0
SP1,A,RPS3A,1.0
SP1,A,SCNN1G,1.0
SP1,A,SCT,1.0
SP1,A,SCTR,1.0
SP1,A,SERPINE1,1.0
SP1,A,SIGIRR,1.0
SP1,A,SKP2,1.0
SP1,A,PRKCE,-1.0
SP1,A,PPL,1.0
SP1,A,POLB,-1.0
SP1,A,PNOC,1.0
SP1,A,NFKB2,1.0
GATA2,A,DPYSL2,1.0
SP1,A,NOL7,1.0
SP1,A,NOS3,1.0
SP1,A,NPY,1.0
SP1,A,NQO2,1.0
SP1,A,NR3C1,1.0
SP1,A,ODC1,1.0
SP1,A,OPRM1,1.0
SP1,A,OXTR,1.0
SP1,A,PADI1,1.0
SP1,A,PADI3,1.0
SP1,A,SLC19A1,1.0
SP1,A,PAX6,1.0
SP1,A,PCNA,1.0
SP1,A,PDE6A,1.0
SP1,A,PDGFB,1.0
GATA2,A,CYBB,-1.0
SP1,A,PDGFC,1.0
SP1,A,PDHA1,1.0
GATA2,A,CTSH,1.0
SP1,A,PGR,1.0
SP1,A,PIM1,1.0
SP1,A,PLAT,1.0
SP1,A,PLAU,1.0
SP1,A,PLAUR,1.0
SP1,A,PCK1,1.0
SP1,A,SLC19A3,1.0
GATA2,A,ARRDC4,1.0
SP1,A,SLC25A5,1.0
SP1,A,TGFB1,1.0
SP1,A,TGFBR2,1.0
SP1,A,TGM4,1.0
GATA1,A,WT1,1.0
GATA1,A,TBXA2R,1.0
SP1,A,THBD,1.0
SP1,A,TIMP1,1.0
SPI1,A,GATA1,1.0
SP1,A,TIMP2,1.0
GATA1,A,PF4,1.0
GATA1,A,NFE2,1.0
GATA1,A,HEMGN,-1.0
GATA2,A,ACKR1,1.0
GATA1,A,HBG1,1.0
SP1,A,TINF2,1.0
GATA1,A,GP6,1.0
GATA1,A,GFI1B,1.0
GATA1,A,EPO,1.0
GATA1,A,CYBB,1.0
GATA1,A,COPS5,1.0
GATA1,A,CCR3,1.0
GATA1,A,ALAS2,1.0
GATA1,A,AGGF1,1.0
GABPA,A,TOMM70,1.0
SP1,A,TMPO,1.0
GABPA,A,BRCA1,1.0
GATA1,A,HBB,1.0
FOXP3,A,IL2,-1.0
SP1,A,TGFA,1.0
TFAP2A,A,SP1,1.0
SP1,A,SLC9A2,1.0
SP1,A,SMAD4,1.0
SP1,A,SMPD1,1.0
SP1,A,SOCS1,1.0
SP1,A,SOD1,1.0
GATA2,A,AR,1.0
SP1,A,SOD2,-1.0
GATA2,A,APEX1,-1.0
SP1,A,SP3,1.0
SP1,A,SPI1,1.0
SP1,A,SPN,1.0
SP1,A,SPP1,1.0
SP1,A,TFPI2,1.0
SP1,A,SPRY2,1.0
SP1,A,SRC,1.0
GATA2,A,AMOTL1,1.0
SP1,A,SREBF1,1.0
SP1,A,STAR,1.0
SP1,A,STARD3,1.0
SP1,A,STK11,1.0
SP1,A,TAF7,1.0
SP1,A,TAL1,1.0
SP1,A,TBXA2R,1.0
GATA2,A,ADH1A,1.0
SP1,A,TCN2,1.0
SP1,A,TERT,1.0
