genesymbol,collection,geneset
MSC,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ICOSLG,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ICOSLG,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
ICOSLG,hallmark,HALLMARK_ALLOGRAFT_REJECTION
FOSL2,hallmark,HALLMARK_HYPOXIA
FOSL2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
RELB,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PLAU,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PLAU,hallmark,HALLMARK_COAGULATION
TRIP10,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BTG1,hallmark,HALLMARK_HYPOXIA
BTG1,hallmark,HALLMARK_P53_PATHWAY
BTG1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BTG1,hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE
IL7R,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
IL7R,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
CXCL3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CXCL3,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
PHLDA2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GPR183,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
GPR183,hallmark,HALLMARK_INFLAMMATORY_RESPONSE
TANK,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CEBPB,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CEBPB,hallmark,HALLMARK_COMPLEMENT
IL23A,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TRAF1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TRAF1,hallmark,HALLMARK_APICAL_JUNCTION
TRAF1,hallmark,HALLMARK_IL2_STAT5_SIGNALING
PTX3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
PTX3,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
CSF2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CSF2,hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING
CSF2,hallmark,HALLMARK_IL2_STAT5_SIGNALING
ID2,hallmark,HALLMARK_TGF_BETA_SIGNALING
ID2,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ID2,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ATF3,hallmark,HALLMARK_HYPOXIA
ATF3,hallmark,HALLMARK_P53_PATHWAY
ATF3,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
ATF3,hallmark,HALLMARK_APOPTOSIS
ATF3,hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS
KLF9,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TSC22D1,hallmark,HALLMARK_ANDROGEN_RESPONSE
TSC22D1,hallmark,HALLMARK_P53_PATHWAY
TSC22D1,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
KLF6,hallmark,HALLMARK_HYPOXIA
KLF6,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB
